COUNTY,LN,TOT_DIST,PRED,TRUE,ERROR,INC_PCT
DeKalb County,7609540,18.25352885,12.24842261,12.16264309,0.08577952,22
DeKalb County,7609550,48.76683647,12.53768745,12.90917016,-0.371482707,1
DeKalb County,7609642,12.76484497,12.90345695,12.89420728,0.009249666,8
DeKalb County,7609768,19.81466795,12.79278607,12.69618523,0.096600841,19
DeKalb County,7609820,21.06380951,12.68939474,12.76568843,-0.076293695,6
DeKalb County,7610143,22.77188215,10.68568039,11.75900399,-1.073323594,5
DeKalb County,7610336,14.37921614,12.92232204,12.58792789,0.334394153,5
DeKalb County,7610350,44.01571726,12.34182914,12.39255221,-0.050723076,5
DeKalb County,7610479,45.65367708,12.71750243,12.81583822,-0.09833579,2
DeKalb County,7610500,14.68893061,12.50301383,12.50617724,-0.003163412,7
DeKalb County,7610735,13.23937858,12.25208528,12.21849517,0.033590114,11
DeKalb County,7610737,49.25814901,12.75916019,12.63460303,0.12455716,15
DeKalb County,7610756,30.15614063,11.4818488,11.77375008,-0.291901284,5
DeKalb County,7610894,9.450315916,12.88163501,13.05408454,-0.172449527,-7
DeKalb County,7611347,16.09275071,11.74857315,12.06104687,-0.312473719,-2
DeKalb County,7611437,17.37455299,12.78529858,13.04979268,-0.264494101,5
DeKalb County,7611583,50.16667493,11.84837178,11.90496755,-0.056595777,24
DeKalb County,7611622,31.02915092,12.08723074,12.20607265,-0.118841905,5
DeKalb County,7611638,56.1221171,12.08285097,11.8493977,0.233453265,22
DeKalb County,7611769,23.03046927,12.53151914,12.74110296,-0.209583822,2
DeKalb County,7611784,10.45283365,12.7779644,12.72188581,0.056078591,-1
DeKalb County,7611794,72.84568573,12.59137137,12.66001041,-0.068639037,16
DeKalb County,7611829,105.0041195,13.34383075,13.31298374,0.030847014,1
DeKalb County,7612006,46.62545557,12.69703041,13.01700286,-0.319972448,27
DeKalb County,7612076,25.02169843,12.89991675,12.91164235,-0.011725596,-3
DeKalb County,7612168,23.50000644,12.48326271,12.59473064,-0.111467929,-5
DeKalb County,7612378,12.13723585,12.93691776,12.89921983,0.037697937,-3
DeKalb County,7612415,53.79877541,12.23431082,12.62806706,-0.393756234,-4
DeKalb County,7612465,36.12214873,12.8550833,12.9692122,-0.114128895,14
DeKalb County,7612516,31.62790498,12.16795486,12.3566455,-0.18869064,28
DeKalb County,7612757,25.436909,12.36775355,12.48370438,-0.115950837,2
DeKalb County,7612835,23.63067976,11.72045642,11.57119437,0.149262052,11
DeKalb County,7612952,29.29968151,12.88783281,13.01700286,-0.129170052,1
DeKalb County,7613231,47.09373548,12.81667839,12.95038811,-0.133709722,4
DeKalb County,7613276,17.29717549,12.12498619,12.01309451,0.111891681,6
DeKalb County,7613428,33.34519263,12.91134662,12.86540448,0.045942142,3
DeKalb County,7613444,53.44470751,12.36093202,12.4292162,-0.068284173,4
DeKalb County,7613459,31.88688077,11.99933456,11.81303006,0.186304501,-7
DeKalb County,7613800,40.78762176,12.6257686,12.50617724,0.119591362,14
DeKalb County,7613801,27.34617704,11.51196107,11.74799759,-0.236036515,5
DeKalb County,7614052,44.35786802,12.49751537,12.46458334,0.032932029,16
DeKalb County,7614097,41.68324904,12.06319597,11.93327919,0.129916782,5
DeKalb County,7614128,43.15262458,13.59033856,13.47302025,0.117318313,7
DeKalb County,7614131,17.5194788,12.76266441,12.54254488,0.220119527,2
DeKalb County,7614194,37.48739245,11.46705451,11.69524702,-0.228192516,8
DeKalb County,7614308,19.62012809,11.59626183,11.66992921,-0.073667383,12
DeKalb County,7614422,59.19198526,12.33670283,12.39462475,-0.05792192,17
DeKalb County,7614667,28.44436117,12.31359354,12.70684793,-0.393254391,12
DeKalb County,7614809,16.83978074,12.80208805,12.84132585,-0.0392378,6
DeKalb County,7615040,33.24985876,12.85623898,12.98310131,-0.126862327,10
